year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2004,Ford,Explorer,4UA81223,FALSE,1FMZU64KX4UA81223,Granite Pearlcoat,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,Eddie Bauer,NULL,NULL,Gasoline,RWD,4.0L NA V6 single overhead cam (SOHC) 12V,NULL,NULL,NULL,NULL,NULL,NULL
2004,Jaguar,X-Type,4WE12887,FALSE,SAJEA51C24WE12887,Octane Red Pearl,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,3,NULL,NULL,Gasoline,AWD,3.0L NA V6 double overhead cam (DOHC) 24V,NULL,NULL,NULL,NULL,NULL,NULL
2011,Mazda,CX-7,B0362521,FALSE,JM3ER2A50B0362521,Blue Crush Metallic,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,i SV,NULL,NULL,Gasoline,FWD,2.5L I4 161hp 161ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Charger,LH180481,TRUE,2C3CDXBG6LH180481,Gun Metallic,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 292hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,LEAF,LC302231,TRUE,1N4BZ1CP7LC302231,Pearl White Tricoat,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,SV PLUS,NULL,NULL,Electricity,FWD,Electric 214hp 250ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Charger,LH189242,TRUE,2C3CDXBG0LH189242,NULL,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 292hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Charger,LH229859,TRUE,2C3CDXJGXLH229859,Indigo Blue,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,AWD,Pentastar 3.6L V6 300hp 264ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 2500,LG228197,TRUE,3C6UR5FL3LG228197,Maximum Steel,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Ram,Ram Pickup 1500,JS353614,FALSE,1C6RR7VM2JS353614,Light Steel Gray,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Diesel,4X4,3.0L Biodiesel Turbo V6 240hp 420ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Sentra,LY274079,TRUE,3N1AB8CV1LY274079,Aspen White,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,2.0L I4 149hp 146ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Toyota,Tundra,HX111102,FALSE,5TFEM5F1XHX111102,Light Steel Gray,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,SR5,NULL,NULL,Gasoline,4X2,4.6L V8 310hp 327ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 2500,LG238724,TRUE,3C6UR5FL6LG238724,Gun Metallic,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN414533,TRUE,1C6SRFHT1LN414533,Pearl White Tricoat,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Limited,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
